CustomerID,Age,Gender,Tenure,AverageTransactionValue,PurchaseFrequency,LastPurchaseDaysAgo,TotalVisits,MembershipType,Region,EmailEngagement,DiscountUsage,Churn
C0001,56,Male,6,251.3,5,126,37,Basic,West,Low,9,0
C0002,69,Female,5,234.39,7,118,62,Gold,North,Medium,4,0
C0003,46,Female,1,366.12,6,54,39,Silver,West,High,1,0
C0004,32,Male,6,403.43,11,119,50,Basic,South,Low,9,0
C0005,60,Male,1,344.39,7,133,88,Silver,West,Low,5,1
C0006,25,Female,3,304.0,9,137,70,Silver,North,High,1,0
C0007,38,Female,5,205.64,3,162,48,Basic,South,High,3,0
C0008,56,Female,5,341.25,10,98,30,Basic,West,Medium,2,0
C0009,36,Female,6,270.55,7,36,46,Basic,North,High,0,0
C0010,40,Female,8,370.8,10,148,81,Basic,South,Low,7,0
C0011,28,Female,5,437.59,3,81,34,Basic,South,Medium,7,0
C0012,28,Female,1,416.66,2,85,36,Basic,West,Medium,0,0
C0013,41,Male,5,331.25,7,83,40,Basic,East,Medium,5,0
C0014,53,Female,3,378.03,4,63,23,Basic,East,Medium,0,0
C0015,57,Female,4,242.43,1,67,26,Gold,North,High,8,0
C0016,41,Male,8,112.12,6,158,69,Basic,West,Medium,0,0
C0017,20,Female,7,412.51,11,3,61,Basic,North,Low,2,0
C0018,39,Female,5,226.28,6,177,15,Basic,West,Medium,8,0
C0019,19,Male,2,434.48,6,42,30,Silver,North,Medium,0,0
C0020,41,Female,6,473.5,2,24,52,Basic,North,Low,1,0
C0021,61,Male,6,557.96,1,44,23,Basic,West,High,3,0
C0022,47,Male,6,579.06,3,129,87,Basic,East,Low,6,0
C0023,55,Male,9,105.26,2,115,16,Platinum,North,Low,7,0
C0024,19,Male,8,595.19,6,36,71,Silver,West,Medium,0,0
C0025,38,Female,8,441.51,6,38,60,Basic,West,Medium,0,0
C0026,50,Male,1,421.76,5,172,22,Basic,West,Medium,4,0
C0027,29,Male,5,107.61,10,82,9,Basic,South,Medium,7,0
C0028,39,Female,7,530.62,10,175,28,Basic,West,Medium,0,0
C0029,61,Male,6,172.75,5,29,82,Silver,West,Low,2,0
C0030,42,Male,5,518.67,9,179,42,Basic,South,Low,5,0
